Name,Designator,Footprint,Quantity,Value,Price,LCSC Part #,Purchase Link
Capacitors 1uF,"C1, C3, C5, C7, C8",0603,5,1uF,$0.0032,C15849,https://jlcpcb.com/partdetail/C15849
Capacitors 100nF,"C2, C4, C6",0603,3,100nF,$0.0032,C14663,https://jlcpcb.com/partdetail/C14663
Resistors 5.1k,"R1, R2, R3, R4",0603,4,5.1k,$0.0016,C23186,https://jlcpcb.com/partdetail/C23186
Resistors 56k,"R5, R6, R7, R8",0603,4,56k,$0.0016,C23206,https://jlcpcb.com/partdetail/C23206
Toggle Switch,SW1,SW-TH_MSK12C02-HB-1,1,MSK12C02-HB,$0.0579,C431541,https://jlcpcb.com/partdetail/C431541
USB Mux,U1,MSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,1,FSUSB42MUX-TP,$0.3720,C42407092,https://jlcpcb.com/partdetail/C42407092
USB Hub,U2,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,1,SL2.1S,$0.2258,C2684433,https://jlcpcb.com/partdetail/C2684433
USB-C Connector,"USB1, USB2, USB3, USB4",USB-C-SMD_TYPE-C-6PIN-2MD-073,4,TYPE-C 16PIN 2MD,$0.0740,C2765186,https://jlcpcb.com/partdetail/C2765186
USB-A Connector,"USB5, USB6",USB-A-TH_10.0QHHTZB6.3,2,10.0 QHHTZB6.3,$0.0636,C668591,https://jlcpcb.com/partdetail/C668591
